first_name,middle_initial,last_name,age,gender,zip,education,2017_gross_income_usd,employment_status
Mary,I,Suarez,70,F,10115,high school,178511,retired
Abel,F,Stevens,72,M,10106,below high school,130080,retired
Alice,K,Roberts,73,F,10024,some college,90384,retired
Mark,C,Xing,22,M,10032,postgrad,215184,other
Maria,M,Michaels,71,F,10107,postgrad,62538,retired
Alice,Q,Xing,40,F,10086,college,162880,accounting
Juan,F,Stevens,28,M,10049,college,212522,other services
Abel,N,Kim,66,M,10121,postgrad,225090,retired
Natalia,Z,Roberts,52,F,10200,below high school,135947,food preparation
Hong,R,Xing,86,F,10120,postgrad,102536,retired
Mark,P,Fernandez,86,M,10198,college,180912,retired
Mary,B,Xing,75,F,10093,high school,156163,retired
Hong,I,Xing,65,F,10191,high school,194405,fitness/sports
John,C,Mellis,83,M,10199,college,153684,retired
Abel,O,Alberts,33,M,10127,college,93542,restaurant and hospitality
Mark,O,Alberts,36,M,10125,high school,147808,unemployed
Juan,T,Suarez,43,M,10058,college,183417,management
Michael,J,Stevens,78,M,10094,college,81942,retired
Alice,Y,Roberts,57,F,10011,college,162883,accounting
Mary,N,Stevens,92,F,10089,postgrad,115219,retired
Hong,B,Xing,37,F,10059,college,124348,cleaning
Hong,T,Mellis,39,F,10070,college,111704,cleaning
Alice,X,Fernandez,91,F,10105,below high school,99116,retired
Juan,K,Stevens,61,M,10139,some college,197863,industrial
John,N,Roberts,62,M,10170,some college,200391,fitness/sports
Natalia,S,Michaels,78,F,10077,college,189768,retired
Juan,W,Alberts,33,M,10188,college,135895,other services
Susie,A,Alberts,27,F,10161,postgrad,155911,transportation
Mary,L,Xing,76,F,10176,some college,182735,retired
Maria,E,Suarez,54,F,10059,high school,164340,other
Xiaohan,G,Suarez,94,M,10193,some college,211417,retired
Mary,S,Kim,55,F,10150,college,135409,engineering
John,H,Alberts,35,M,10121,high school,86634,unemployed
Mark,N,Alberts,63,M,10091,some college,190028,fitness/sports
Juan,L,Alberts,79,M,10086,below high school,229531,retired
Mary,W,Xing,42,F,10077,high school,127770,engineering
Michael,A,Alberts,32,M,10171,some college,131855,unemployed
Mary,P,Fernandez,58,F,10005,below high school,113977,transportation
Xiaohan,U,Kim,45,M,10067,high school,185941,fitness/sports
Mark,B,Roberts,87,M,10014,below high school,228029,retired
John,N,Kim,74,M,10127,postgrad,138967,retired
Juan,M,Suarez,71,M,10198,high school,80307,retired
Michael,N,Suarez,96,M,10110,below high school,126239,retired
Juan,M,Mellis,80,M,10023,some college,102632,retired
Natalia,Z,Alberts,55,F,10055,below high school,206142,education
Michael,F,Mellis,29,M,10105,postgrad,225923,industrial
Abel,J,Suarez,97,M,10151,below high school,231651,retired
Juan,T,Roberts,37,M,10044,college,75524,industrial
Mary,W,Stevens,75,F,10133,postgrad,117929,retired
Mark,S,Alberts,96,M,10188,high school,174661,retired
Juan,T,Michaels,97,M,10080,high school,241694,retired
John,F,Suarez,30,M,10095,college,50095,restaurant and hospitality
Mark,Q,Suarez,85,M,10199,postgrad,167661,retired
Juan,L,Alberts,53,M,10177,some college,63992,restaurant and hospitality
Michael,W,Alberts,81,M,10022,some college,199153,retired
Alice,I,Mellis,56,F,10103,high school,162297,other
Mark,J,Suarez,52,M,10198,postgrad,152427,restaurant and hospitality
Maria,T,Suarez,56,F,10110,college,88039,cleaning
Natalia,F,Stevens,50,F,10125,college,117651,transportation
Alice,F,Fernandez,38,F,10152,postgrad,201754,industrial
Susie,U,Stevens,65,F,10061,college,200103,other services
Xiaohan,K,Kim,69,M,10003,postgrad,166860,retired
Abel,K,Michaels,40,M,10097,below high school,193663,other services
Natalia,I,Stevens,32,F,10160,postgrad,162144,management
Susie,Q,Roberts,69,F,10181,some college,152031,retired
Hong,O,Kim,55,F,10178,below high school,122225,management
Maria,Y,Kim,24,F,10014,some college,75428,engineering
Maria,L,Kim,55,F,10117,postgrad,166403,cleaning
John,Y,Fernandez,81,M,10056,high school,215961,retired
Juan,X,Stevens,24,M,10188,high school,87281,fitness/sports
